ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
390,2.25,12.8446,5.7087,4305.56,8630,0,0,340888.833,3403575.811
4024,2.25,0,0,0,0,0,0,391715.894,3479251.794
3136,2.25,17.216,7.6515,7307.65,149821,0,0,355888.833,3460575.811
4096,2.25,4.7981,2.1325,0,645,0,0,391887.245,3480079.064
2110,2.25,2.573,1.1435,5525,12233,0,0,328888.833,3439575.811
1393,2.25,4.5283,2.0126,0,7782,0,0,333388.833,3424575.811
5442,2.25,1.52,0.6756,0,973,0,0,358888.833,3508575.811
1079,2.25,0,0,0,0,0,0,401763.6195,3417535.587
1174,2.25,10.7571,4.7809,0,2059,0,0,328888.833,3420075.811
1548,2.25,5.407,2.4031,0,35045,0,0,349888.833,3427575.811
1791,2.25,1.7267,0.7674,0,1691,0,0,390388.833,3432075.811
3407,2.25,11.105,4.9356,6650,394,0,0,330388.833,3466575.811
3939,2.25,0,0,0,2519,0,0,372388.833,3477075.811
1234,2.25,5.1512,2.2894,0,3553,0,0,310888.833,3421575.811
3728,2.25,5.8771,2.612,0,1050,0,0,379888.833,3472575.811
1465,2.25,3.0007,1.3336,0,11221,0,0,333388.833,3426075.811
3849,2.25,3.4183,1.5193,5288.67,279,0,0,345388.833,3475575.811
751,2.25,6.5644,2.9175,0,7756,0,0,342388.833,3411075.811
2652,2.25,3.3264,1.4784,0,31056,0,0,385683.4551,3449938.719
683,2.25,7.3721,3.2765,6466,1703,0,0,348388.833,3409575.811
2050,2.25,5.7835,2.5704,3890.31,37320,0,0,346888.833,3438075.811
4132,2.25,1.9053,0.8468,0,6657,0,0,337888.833,3481575.811
5164,2.25,0.191,0.0849,0,15,0,0,373344.6662,3501929.774
6077,2.25,1.7887,0.795,7025,1945,0,0,339388.833,3522075.811
6006,2.25,1.4261,0.6338,0,1144,0,0,340888.833,3520575.811
4351,2.25,0,0,0,307,0,0,342386.8428,3486073.679
1918,2.25,9.96,4.4267,7281.88,12352,0,0,364888.833,3435075.811
1378,2.25,2.4669,1.0964,0,3965,0,0,310888.833,3424575.811
4528,2.25,0,0,3200,1395,0,0,391888.833,3489075.811
3707,2.25,0,0,0,50830,0,0,348388.833,3472575.811
3762,2.25,3.0901,1.3734,0,6352,0,0,323145.6401,3473864.335
4458,2.25,0,0,0,1144,0,0,394888.833,3487575.811
